GeneSymbol	MCF7_FDI-6_0h_r1	MCF7_FDI-6_0h_r2	MCF7_FDI-6_0h_r3	MCF7_FDI-6_3h_r1	MCF7_FDI-6_3h_r2	MCF7_FDI-6_3h_r3	random1	random2	random3	random4
C11orf98	24.6771140729851	22.0238279946761	22.1972911789211	22.5771475952134	20.9432460318465	20.961758091251	22.0238279946761	20.961758091251	20.961758091251	24.6771140729851
C12orf10	55.1771289488408	72.3711022914761	69.9052357745883	61.041901691261	63.9448471001575	63.8328682802084	72.3711022914761	63.8328682802084	63.8328682802084	55.1771289488408
C12orf29	27.6779357398222	33.2524911879274	29.0407802206317	24.8460318943211	26.195095663086	30.9900483050267	33.2524911879274	30.9900483050267	30.9900483050267	27.6779357398222
C12orf4	10.9620692019001	14.3887797451	11.8823184279616	8.82025215575892	10.6969709592978	9.56617452304046	14.3887797451	9.56617452304046	9.56617452304046	10.9620692019001
C12orf43	17.4785448157778	17.9063366385668	19.9850118681927	16.8240509611026	14.7676504966512	15.9898646830121	17.9063366385668	15.9898646830121	15.9898646830121	17.4785448157778
C12orf45	45.0561481781222	46.7607919935365	68.5071637187317	65.938042608759	67.5064975589197	57.2131536741474	46.7607919935365	57.2131536741474	57.2131536741474	45.0561481781222
C12orf49	46.7516248887344	55.3391179780634	51.1058324880734	41.6798715097433	53.261236612694	45.8583537856814	55.3391179780634	45.8583537856814	45.8583537856814	46.7516248887344
C12orf54	0.0707760204382715	0.0707760204382715	0.808897249234048	0.0707760204382715	0.930027859565561	0.0707760204382715	0.0707760204382715	0.0707760204382715	0.0707760204382715	0.0707760204382715
C12orf57	148.494688038664	175.468468584591	158.108818627318	189.775600685312	173.119158054832	180.945697982627	175.468468584591	180.945697982627	180.945697982627	148.494688038664
C12orf60	2.74928990933271	1.75078109108043	2.07663971728011	2.18604876337339	2.01399491804437	1.40911175305746	1.75078109108043	1.40911175305746	1.40911175305746	2.74928990933271
C12orf65	25.6883239666828	24.4264928987322	22.2668178341394	19.4953156411837	21.5284012279965	21.4913385864227	24.4264928987322	21.4913385864227	21.4913385864227	25.6883239666828
C12orf66	14.2252295694039	13.2820095977661	13.80890225587	13.8497399579006	17.8766813909793	15.6064762386097	13.2820095977661	15.6064762386097	15.6064762386097	14.2252295694039
C12orf73	51.5150496866698	43.1026616795792	49.186521600798	42.6268653722057	41.0356622719315	34.1661812990288	43.1026616795792	34.1661812990288	34.1661812990288	51.5150496866698
C12orf75	129.365150516757	137.462286106433	117.993633408362	120.776462086193	126.801207351776	130.481391458531	137.462286106433	130.481391458531	130.481391458531	129.365150516757
C12orf76	16.436486964274	20.0285339732251	18.1843326568608	12.1362880555182	11.8074273087076	10.7177226528776	20.0285339732251	10.7177226528776	10.7177226528776	16.436486964274
C14orf119	87.0530013667328	86.1441045408569	87.1817527313893	84.1905063209273	85.4595823496287	94.0748265549778	86.1441045408569	94.0748265549778	94.0748265549778	87.0530013667328
C14orf132	15.8705519949106	18.8650804560265	18.0578858544202	11.2354952903913	19.3356470866329	13.6206420896347	18.8650804560265	13.6206420896347	13.6206420896347	15.8705519949106
C14orf178	1.17807730924949	2.60562980665228	0.52979161304523	1.04467548477256	1.67738762732002	-0.0585426626908696	2.60562980665228	-0.0585426626908696	-0.0585426626908696	1.17807730924949
C14orf28	6.57147066280594	6.18250039340297	5.21425477201789	8.87074850440718	7.22232802068585	8.96241875561202	6.18250039340297	8.96241875561202	8.96241875561202	6.57147066280594
C14orf93	6.28421984639697	3.92154827591506	6.76647575017313	4.2944443995328	3.41132870521376	6.58089528791492	3.92154827591506	6.58089528791492	6.58089528791492	6.28421984639697
C15orf39	9.95019369120482	11.3981055567843	13.5724848366751	10.3434023214945	11.1623666094614	12.702301471045	11.3981055567843	12.702301471045	12.702301471045	9.95019369120482
C15orf40	55.8904467904022	79.5357581078612	53.3848409708311	49.4234606755369	62.8986153472383	49.0820343277736	79.5357581078612	49.0820343277736	49.0820343277736	55.8904467904022
C15orf41	4.3178356619631	5.5547173829797	4.32566829624816	3.51772460913992	4.57687236948515	3.71182316522919	5.5547173829797	3.71182316522919	3.71182316522919	4.3178356619631
C15orf48	3.24936194979313	6.77072447235735	3.5960251509243	11.1565776355218	8.04746611965194	4.73513235050047	6.77072447235735	4.73513235050047	4.73513235050047	3.24936194979313
C15orf61	17.4254376407526	19.5698805407868	33.3529954926078	17.3581771418402	25.1311977815215	22.7734576513667	19.5698805407868	22.7734576513667	22.7734576513667	17.4254376407526
C15orf65	6.59473229428939	9.38409829729357	4.50293555609822	4.8297532709879	4.52134018836895	5.32427580016004	9.38409829729357	5.32427580016004	5.32427580016004	6.59473229428939
C16orf46	1.92792155618776	1.18461576684172	1.87484786766389	2.03031619880865	3.03754369258975	2.10437706461078	1.18461576684172	2.10437706461078	2.10437706461078	1.92792155618776
